battle_id,first_pokemon_id,second_pokemon_id,winner_pokemon_id
1,266,298,298
2,702,701,701
3,191,668,668
4,237,683,683
5,151,231,151
6,657,752,657
7,192,134,134
8,73,545,545
9,220,763,763
10,302,31,31
11,442,130,130
12,701,624,701
13,15,283,283
14,151,87,151
15,269,462,269
16,763,448,448
17,143,263,263
18,365,240,240
19,499,774,499
20,563,578,563
21,440,687,687
22,373,441,441
23,654,671,671
24,121,355,121
25,609,649,649
26,270,708,270
27,460,568,568
28,626,767,767
29,139,451,139
30,694,747,694
31,455,549,549
32,181,301,301
33,208,184,184
34,536,365,536
35,260,381,381
36,471,269,269
37,621,287,287
38,406,134,406
39,592,503,503
40,564,242,242
41,579,242,242
42,200,719,200
43,376,135,376
44,76,441,441
45,667,645,645
46,475,400,475
47,3,737,737
48,435,45,435
49,231,146,146
50,510,715,715
51,456,260,260
52,164,751,751
53,424,754,424
54,258,779,258
55,360,208,208
56,723,646,646
57,384,533,533
58,734,673,673
59,141,721,141
60,244,741,244
61,509,217,509
62,633,44,633
63,595,719,595
64,606,40,606
65,368,598,368
66,746,584,746
67,350,187,350
68,303,198,303
69,169,701,701
70,569,115,115
71,231,172,172
72,71,440,71
73,659,610,610
74,570,557,557
75,712,40,712
76,451,352,451
77,661,95,95
78,540,4,540
79,130,319,130
80,125,418,418
81,309,276,276
82,579,612,612
83,716,80,80
84,482,535,535
85,376,37,37
86,6,328,328
87,343,159,159
88,509,574,574
89,546,530,546
90,486,229,229
91,686,213,213
92,304,386,386
93,514,732,732
94,161,757,161
95,150,265,265
96,436,701,701
97,221,265,265
98,436,603,603
99,242,365,242
100,792,251,792
101,607,295,607
102,439,209,209
103,657,360,657
104,436,40,40
105,325,408,408
106,472,89,472
107,71,777,71
108,47,615,47
109,5,670,5
110,793,314,314
111,195,461,195
112,493,568,493
113,400,341,341
114,63,297,63
115,541,446,541
116,141,152,141
117,54,115,115
118,378,161,161
119,224,316,316
120,311,398,398
121,298,35,298
122,356,132,356
123,103,370,103
124,503,453,503
125,600,598,600
126,445,45,445
127,360,548,548
128,303,133,133
129,51,331,51
130,171,559,171
131,758,129,758
132,6,255,6
133,698,154,154
134,92,491,491
135,381,73,381
136,354,271,271
137,219,49,219
138,736,244,244
139,683,245,245
140,533,452,533
141,200,588,588
142,403,636,403
143,56,561,561
144,54,119,119
145,629,141,629
146,547,779,547
147,380,547,547
148,407,307,307
149,153,559,153
150,306,268,306
151,89,382,89
152,54,32,32
153,172,745,745
154,16,110,110
155,537,734,537
156,278,94,278
157,342,643,643
158,435,165,165
159,638,691,691
160,734,718,718
161,298,781,298
162,42,113,42
163,97,316,97
164,416,397,397
165,483,400,483
166,275,155,155
167,154,461,154
168,309,4,4
169,539,30,30
170,545,266,545
171,283,340,340
172,232,254,254
173,384,427,427
174,161,781,161
175,496,420,496
176,268,159,159
177,473,593,473
178,550,475,550
179,199,785,785
180,385,732,732
181,488,196,488
182,30,587,30
183,36,494,494
184,513,184,184
